101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.200000		0.050000		-0.143133
0.100000		0.060000		-0.208431
0.101000		0.060000		-0.207030
0.102000		0.060000		-0.205626
0.103000		0.060000		-0.204221
0.104000		0.060000		-0.202816
0.105000		0.060000		-0.201413
0.106000		0.060000		-0.200012
0.107000		0.060000		-0.198617
0.108000		0.060000		-0.197228
0.109000		0.060000		-0.195847
0.110000		0.060000		-0.194475
0.111000		0.060000		-0.193112
0.112000		0.060000		-0.191761
0.113000		0.060000		-0.190423
0.114000		0.060000		-0.189098
0.115000		0.060000		-0.187787
0.116000		0.060000		-0.186492
0.117000		0.060000		-0.185213
0.118000		0.060000		-0.183951
0.119000		0.060000		-0.182706
0.120000		0.060000		-0.181480
0.121000		0.060000		-0.180273
0.122000		0.060000		-0.179085
0.123000		0.060000		-0.177918
0.124000		0.060000		-0.176771
0.125000		0.060000		-0.175644
0.126000		0.060000		-0.174539
0.127000		0.060000		-0.173455
0.128000		0.060000		-0.172393
0.129000		0.060000		-0.171353
0.130000		0.060000		-0.170335
0.131000		0.060000		-0.169340
0.132000		0.060000		-0.168366
0.133000		0.060000		-0.167415
0.134000		0.060000		-0.166486
0.135000		0.060000		-0.165580
0.136000		0.060000		-0.164696
0.137000		0.060000		-0.163834
0.138000		0.060000		-0.162994
0.139000		0.060000		-0.162177
0.140000		0.060000		-0.161381
0.141000		0.060000		-0.160607
0.142000		0.060000		-0.159854
0.143000		0.060000		-0.159123
0.144000		0.060000		-0.158413
0.145000		0.060000		-0.157723
0.146000		0.060000		-0.157055
0.147000		0.060000		-0.156406
0.148000		0.060000		-0.155778
0.149000		0.060000		-0.155170
0.150000		0.060000		-0.154581
0.151000		0.060000		-0.154011
0.152000		0.060000		-0.153460
0.153000		0.060000		-0.152928
0.154000		0.060000		-0.152414
0.155000		0.060000		-0.151919
0.156000		0.060000		-0.151440
0.157000		0.060000		-0.150980
0.158000		0.060000		-0.150536
0.159000		0.060000		-0.150109
0.160000		0.060000		-0.149698
0.161000		0.060000		-0.149303
0.162000		0.060000		-0.148924
0.163000		0.060000		-0.148561
0.164000		0.060000		-0.148213
0.165000		0.060000		-0.147879
0.166000		0.060000		-0.147560
0.167000		0.060000		-0.147255
0.168000		0.060000		-0.146964
0.169000		0.060000		-0.146686
0.170000		0.060000		-0.146422
0.171000		0.060000		-0.146170
0.172000		0.060000		-0.145932
0.173000		0.060000		-0.145705
0.174000		0.060000		-0.145491
0.175000		0.060000		-0.145289
0.176000		0.060000		-0.145098
0.177000		0.060000		-0.144918
0.178000		0.060000		-0.144749
0.179000		0.060000		-0.144592
0.180000		0.060000		-0.144444
0.181000		0.060000		-0.144307
0.182000		0.060000		-0.144180
0.183000		0.060000		-0.144062
0.184000		0.060000		-0.143954
0.185000		0.060000		-0.143856
0.186000		0.060000		-0.143766
0.187000		0.060000		-0.143685
0.188000		0.060000		-0.143613
0.189000		0.060000		-0.143549
0.190000		0.060000		-0.143494
0.191000		0.060000		-0.143446
0.192000		0.060000		-0.143407
0.193000		0.060000		-0.143374
0.194000		0.060000		-0.143350
0.195000		0.060000		-0.143332
0.196000		0.060000		-0.143322
0.197000		0.060000		-0.143318
0.198000		0.060000		-0.143321
0.199000		0.060000		-0.143331
0.200000		0.060000		-0.143347
0.100000		0.070000		-0.208780
0.101000		0.070000		-0.207390
0.102000		0.070000		-0.205996
0.103000		0.070000		-0.204601
0.104000		0.070000		-0.203205
0.105000		0.070000		-0.201811
0.106000		0.070000		-0.200420
0.107000		0.070000		-0.199033
0.108000		0.070000		-0.197652
0.109000		0.070000		-0.196278
0.110000		0.070000		-0.194912
0.111000		0.070000		-0.193556
0.112000		0.070000		-0.192212
0.113000		0.070000		-0.190879
0.114000		0.070000		-0.189559
0.115000		0.070000		-0.188253
0.116000		0.070000		-0.186962
0.117000		0.070000		-0.185686
0.118000		0.070000		-0.184427
0.119000		0.070000		-0.183186
0.120000		0.070000		-0.181962
0.121000		0.070000		-0.180757
0.122000		0.070000		-0.179571
0.123000		0.070000		-0.178404
0.124000		0.070000		-0.177258
0.125000		0.070000		-0.176132
0.126000		0.070000		-0.175027
0.127000		0.070000		-0.173943
0.128000		0.070000		-0.172881
0.129000		0.070000		-0.171840
0.130000		0.070000		-0.170820
0.131000		0.070000		-0.169823
0.132000		0.070000		-0.168848
0.133000		0.070000		-0.167895
0.134000		0.070000		-0.166964
0.135000		0.070000		-0.166055
0.136000		0.070000		-0.165169
0.137000		0.070000		-0.164304
0.138000		0.070000		-0.163461
0.139000		0.070000		-0.162640
0.140000		0.070000		-0.161841
0.141000		0.070000		-0.161064
0.142000		0.070000		-0.160308
0.143000		0.070000		-0.159573
0.144000		0.070000		-0.158859
0.145000		0.070000		-0.158166
0.146000		0.070000		-0.157493
0.147000		0.070000		-0.156841
0.148000		0.070000		-0.156209
0.149000		0.070000		-0.155596
0.150000		0.070000		-0.155003
0.151000		0.070000		-0.154430
0.152000		0.070000		-0.153875
0.153000		0.070000		-0.153338
0.154000		0.070000		-0.152820
0.155000		0.070000		-0.152320
0.156000		0.070000		-0.151838
0.157000		0.070000		-0.151373
0.158000		0.070000		-0.150925
0.159000		0.070000		-0.150494
0.160000		0.070000		-0.150079
0.161000		0.070000		-0.149680
0.162000		0.070000		-0.149297
0.163000		0.070000		-0.148930
0.164000		0.070000		-0.148577
0.165000		0.070000		-0.148239
0.166000		0.070000		-0.147916
0.167000		0.070000		-0.147607
0.168000		0.070000		-0.147312
0.169000		0.070000		-0.147031
0.170000		0.070000		-0.146763
0.171000		0.070000		-0.146508
0.172000		0.070000		-0.146265
0.173000		0.070000		-0.146035
0.174000		0.070000		-0.145818
0.175000		0.070000		-0.145612
0.176000		0.070000		-0.145417
0.177000		0.070000		-0.145234
0.178000		0.070000		-0.145062
0.179000		0.070000		-0.144901
0.180000		0.070000		-0.144750
0.181000		0.070000		-0.144610
0.182000		0.070000		-0.144479
0.183000		0.070000		-0.144359
0.184000		0.070000		-0.144247
0.185000		0.070000		-0.144146
0.186000		0.070000		-0.144053
0.187000		0.070000		-0.143969
0.188000		0.070000		-0.143894
0.189000		0.070000		-0.143828
0.190000		0.070000		-0.143769
0.191000		0.070000		-0.143719
0.192000		0.070000		-0.143677
0.193000		0.070000		-0.143642
0.194000		0.070000		-0.143614
0.195000		0.070000		-0.143594
0.196000		0.070000		-0.143581
