101
81
T [GeV]		muB [GeV]		betapi_over_T4 [fm^-4 / GeV^4]
0.120000		0.050000		40.538593
0.121000		0.050000		41.239382
0.122000		0.050000		41.957103
0.123000		0.050000		42.692223
0.124000		0.050000		43.445213
0.125000		0.050000		44.216552
0.126000		0.050000		45.006722
0.127000		0.050000		45.816212
0.128000		0.050000		46.645516
0.129000		0.050000		47.495134
0.130000		0.050000		48.365569
0.131000		0.050000		49.257334
0.132000		0.050000		50.170942
0.133000		0.050000		51.106913
0.134000		0.050000		52.065774
0.135000		0.050000		53.048053
0.136000		0.050000		54.054285
0.137000		0.050000		55.085009
0.138000		0.050000		56.140770
0.139000		0.050000		57.222114
0.140000		0.050000		58.329594
0.141000		0.050000		59.463766
0.142000		0.050000		60.625189
0.143000		0.050000		61.814427
0.144000		0.050000		63.032047
0.145000		0.050000		64.278619
0.146000		0.050000		65.554717
0.147000		0.050000		66.860916
0.148000		0.050000		68.197796
0.149000		0.050000		69.565939
0.150000		0.050000		70.965928
0.151000		0.050000		72.398349
0.152000		0.050000		73.863791
0.153000		0.050000		75.362845
0.154000		0.050000		76.896100
0.155000		0.050000		78.464150
0.156000		0.050000		80.067589
0.157000		0.050000		81.707012
0.158000		0.050000		83.383015
0.159000		0.050000		85.096193
0.160000		0.050000		86.847142
0.161000		0.050000		88.636460
0.162000		0.050000		90.464743
0.163000		0.050000		92.332586
0.164000		0.050000		94.240584
0.165000		0.050000		96.189333
0.166000		0.050000		98.179425
0.167000		0.050000		100.211452
0.168000		0.050000		102.286006
0.169000		0.050000		104.403676
0.170000		0.050000		106.565047
0.171000		0.050000		108.770707
0.172000		0.050000		111.021236
0.173000		0.050000		113.317216
0.174000		0.050000		115.659224
0.175000		0.050000		118.047834
0.176000		0.050000		120.483617
0.177000		0.050000		122.967143
0.178000		0.050000		125.498974
0.179000		0.050000		128.079673
0.180000		0.050000		130.709796
0.181000		0.050000		133.389895
0.182000		0.050000		136.120520
0.183000		0.050000		138.902214
0.184000		0.050000		141.735516
0.185000		0.050000		144.620962
0.186000		0.050000		147.559081
0.187000		0.050000		150.550397
0.188000		0.050000		153.595429
0.189000		0.050000		156.694692
0.190000		0.050000		159.848693
0.191000		0.050000		163.057934
0.192000		0.050000		166.322913
0.193000		0.050000		169.644118
0.194000		0.050000		173.022036
0.195000		0.050000		176.457142
0.196000		0.050000		179.949909
0.197000		0.050000		183.500801
0.198000		0.050000		187.110276
0.199000		0.050000		190.778786
0.200000		0.050000		194.506775
0.100000		0.060000		29.428794
0.101000		0.060000		29.881646
0.102000		0.060000		30.343343
0.103000		0.060000		30.814245
0.104000		0.060000		31.294721
0.105000		0.060000		31.785139
0.106000		0.060000		32.285877
0.107000		0.060000		32.797315
0.108000		0.060000		33.319837
0.109000		0.060000		33.853837
0.110000		0.060000		34.399709
0.111000		0.060000		34.957855
0.112000		0.060000		35.528683
0.113000		0.060000		36.112604
0.114000		0.060000		36.710036
0.115000		0.060000		37.321404
0.116000		0.060000		37.947135
0.117000		0.060000		38.587665
0.118000		0.060000		39.243434
0.119000		0.060000		39.914888
0.120000		0.060000		40.602479
0.121000		0.060000		41.306664
0.122000		0.060000		42.027905
0.123000		0.060000		42.766673
0.124000		0.060000		43.523440
0.125000		0.060000		44.298686
0.126000		0.060000		45.092898
0.127000		0.060000		45.906565
0.128000		0.060000		46.740185
0.129000		0.060000		47.594258
0.130000		0.060000		48.469291
0.131000		0.060000		49.365797
0.132000		0.060000		50.284293
0.133000		0.060000		51.225300
0.134000		0.060000		52.189346
0.135000		0.060000		53.176962
0.136000		0.060000		54.188685
0.137000		0.060000		55.225056
0.138000		0.060000		56.286620
0.139000		0.060000		57.373926
0.140000		0.060000		58.487529
0.141000		0.060000		59.627985
0.142000		0.060000		60.795856
0.143000		0.060000		61.991707
0.144000		0.060000		63.216107
0.145000		0.060000		64.469626
0.146000		0.060000		65.752840
0.147000		0.060000		67.066326
0.148000		0.060000		68.410664
0.149000		0.060000		69.786437
0.150000		0.060000		71.194231
0.151000		0.060000		72.634633
0.152000		0.060000		74.108231
0.153000		0.060000		75.615616
0.154000		0.060000		77.157382
0.155000		0.060000		78.734121
0.156000		0.060000		80.346428
0.157000		0.060000		81.994899
0.158000		0.060000		83.680129
0.159000		0.060000		85.402717
0.160000		0.060000		87.163257
0.161000		0.060000		88.962348
0.162000		0.060000		90.800586
0.163000		0.060000		92.678567
0.164000		0.060000		94.596887
0.165000		0.060000		96.556139
0.166000		0.060000		98.556919
0.167000		0.060000		100.599817
0.168000		0.060000		102.685425
0.169000		0.060000		104.814331
0.170000		0.060000		106.987124
0.171000		0.060000		109.204386
0.172000		0.060000		111.466702
0.173000		0.060000		113.774650
0.174000		0.060000		116.128808
0.175000		0.060000		118.529750
0.176000		0.060000		120.978047
0.177000		0.060000		123.474266
