101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.166000		0.060000		42.817848
0.167000		0.060000		43.636510
0.168000		0.060000		44.467562
0.169000		0.060000		45.311138
0.170000		0.060000		46.167367
0.171000		0.060000		47.036381
0.172000		0.060000		47.918304
0.173000		0.060000		48.813261
0.174000		0.060000		49.721375
0.175000		0.060000		50.642763
0.176000		0.060000		51.577541
0.177000		0.060000		52.525824
0.178000		0.060000		53.487721
0.179000		0.060000		54.463339
0.180000		0.060000		55.452784
0.181000		0.060000		56.456157
0.182000		0.060000		57.473555
0.183000		0.060000		58.505074
0.184000		0.060000		59.550806
0.185000		0.060000		60.610838
0.186000		0.060000		61.685256
0.187000		0.060000		62.774142
0.188000		0.060000		63.877573
0.189000		0.060000		64.995626
0.190000		0.060000		66.128371
0.191000		0.060000		67.275875
0.192000		0.060000		68.438204
0.193000		0.060000		69.615418
0.194000		0.060000		70.807574
0.195000		0.060000		72.014726
0.196000		0.060000		73.236924
0.197000		0.060000		74.474214
0.198000		0.060000		75.726638
0.199000		0.060000		76.994236
0.200000		0.060000		78.277043
0.100000		0.070000		9.159890
0.101000		0.070000		9.448597
0.102000		0.070000		9.742817
0.103000		0.070000		10.042557
0.104000		0.070000		10.347825
0.105000		0.070000		10.658634
0.106000		0.070000		10.974998
0.107000		0.070000		11.296935
0.108000		0.070000		11.624469
0.109000		0.070000		11.957625
0.110000		0.070000		12.296432
0.111000		0.070000		12.640924
0.112000		0.070000		12.991137
0.113000		0.070000		13.347114
0.114000		0.070000		13.708899
0.115000		0.070000		14.076541
0.116000		0.070000		14.450095
0.117000		0.070000		14.829618
0.118000		0.070000		15.215172
0.119000		0.070000		15.606824
0.120000		0.070000		16.004642
0.121000		0.070000		16.408703
0.122000		0.070000		16.819085
0.123000		0.070000		17.235870
0.124000		0.070000		17.659145
0.125000		0.070000		18.089003
0.126000		0.070000		18.525536
0.127000		0.070000		18.968845
0.128000		0.070000		19.419031
0.129000		0.070000		19.876201
0.130000		0.070000		20.340464
0.131000		0.070000		20.811935
0.132000		0.070000		21.290729
0.133000		0.070000		21.776967
0.134000		0.070000		22.270770
0.135000		0.070000		22.772266
0.136000		0.070000		23.281583
0.137000		0.070000		23.798852
0.138000		0.070000		24.324207
0.139000		0.070000		24.857784
0.140000		0.070000		25.399722
0.141000		0.070000		25.950160
0.142000		0.070000		26.509242
0.143000		0.070000		27.077110
0.144000		0.070000		27.653910
0.145000		0.070000		28.239790
0.146000		0.070000		28.834896
0.147000		0.070000		29.439378
0.148000		0.070000		30.053386
0.149000		0.070000		30.677070
0.150000		0.070000		31.310581
0.151000		0.070000		31.954070
0.152000		0.070000		32.607688
0.153000		0.070000		33.271588
0.154000		0.070000		33.945920
0.155000		0.070000		34.630836
0.156000		0.070000		35.326486
0.157000		0.070000		36.033020
0.158000		0.070000		36.750587
0.159000		0.070000		37.479336
0.160000		0.070000		38.219414
0.161000		0.070000		38.970967
0.162000		0.070000		39.734140
0.163000		0.070000		40.509077
0.164000		0.070000		41.295919
0.165000		0.070000		42.094807
0.166000		0.070000		42.905880
0.167000		0.070000		43.729273
0.168000		0.070000		44.565122
0.169000		0.070000		45.413558
0.170000		0.070000		46.274712
0.171000		0.070000		47.148712
0.172000		0.070000		48.035684
0.173000		0.070000		48.935750
0.174000		0.070000		49.849031
0.175000		0.070000		50.775644
0.176000		0.070000		51.715705
0.177000		0.070000		52.669326
0.178000		0.070000		53.636616
0.179000		0.070000		54.617680
