101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.155000		0.050000		-0.059533
0.156000		0.050000		-0.057580
0.157000		0.050000		-0.055703
0.158000		0.050000		-0.053898
0.159000		0.050000		-0.052161
0.160000		0.050000		-0.050490
0.161000		0.050000		-0.048881
0.162000		0.050000		-0.047333
0.163000		0.050000		-0.045843
0.164000		0.050000		-0.044408
0.165000		0.050000		-0.043026
0.166000		0.050000		-0.041695
0.167000		0.050000		-0.040413
0.168000		0.050000		-0.039177
0.169000		0.050000		-0.037987
0.170000		0.050000		-0.036839
0.171000		0.050000		-0.035733
0.172000		0.050000		-0.034666
0.173000		0.050000		-0.033637
0.174000		0.050000		-0.032645
0.175000		0.050000		-0.031688
0.176000		0.050000		-0.030764
0.177000		0.050000		-0.029873
0.178000		0.050000		-0.029013
0.179000		0.050000		-0.028183
0.180000		0.050000		-0.027381
0.181000		0.050000		-0.026608
0.182000		0.050000		-0.025860
0.183000		0.050000		-0.025138
0.184000		0.050000		-0.024441
0.185000		0.050000		-0.023767
0.186000		0.050000		-0.023116
0.187000		0.050000		-0.022487
0.188000		0.050000		-0.021878
0.189000		0.050000		-0.021290
0.190000		0.050000		-0.020722
0.191000		0.050000		-0.020172
0.192000		0.050000		-0.019640
0.193000		0.050000		-0.019125
0.194000		0.050000		-0.018627
0.195000		0.050000		-0.018145
0.196000		0.050000		-0.017679
0.197000		0.050000		-0.017228
0.198000		0.050000		-0.016791
0.199000		0.050000		-0.016367
0.200000		0.050000		-0.015958
0.100000		0.060000		-0.558970
0.101000		0.060000		-0.531141
0.102000		0.060000		-0.504982
0.103000		0.060000		-0.480374
0.104000		0.060000		-0.457210
0.105000		0.060000		-0.435390
0.106000		0.060000		-0.414821
0.107000		0.060000		-0.395420
0.108000		0.060000		-0.377107
0.109000		0.060000		-0.359812
0.110000		0.060000		-0.343467
0.111000		0.060000		-0.328011
0.112000		0.060000		-0.313386
0.113000		0.060000		-0.299540
0.114000		0.060000		-0.286424
0.115000		0.060000		-0.273992
0.116000		0.060000		-0.262203
0.117000		0.060000		-0.251018
0.118000		0.060000		-0.240398
0.119000		0.060000		-0.230312
0.120000		0.060000		-0.220728
0.121000		0.060000		-0.211615
0.122000		0.060000		-0.202948
0.123000		0.060000		-0.194700
0.124000		0.060000		-0.186847
0.125000		0.060000		-0.179367
0.126000		0.060000		-0.172240
0.127000		0.060000		-0.165446
0.128000		0.060000		-0.158966
0.129000		0.060000		-0.152785
0.130000		0.060000		-0.146885
0.131000		0.060000		-0.141252
0.132000		0.060000		-0.135872
0.133000		0.060000		-0.130732
0.134000		0.060000		-0.125819
0.135000		0.060000		-0.121121
0.136000		0.060000		-0.116629
0.137000		0.060000		-0.112330
0.138000		0.060000		-0.108217
0.139000		0.060000		-0.104279
0.140000		0.060000		-0.100508
0.141000		0.060000		-0.096896
0.142000		0.060000		-0.093435
0.143000		0.060000		-0.090118
0.144000		0.060000		-0.086939
0.145000		0.060000		-0.083890
0.146000		0.060000		-0.080965
0.147000		0.060000		-0.078159
0.148000		0.060000		-0.075467
0.149000		0.060000		-0.072883
0.150000		0.060000		-0.070402
0.151000		0.060000		-0.068020
0.152000		0.060000		-0.065731
0.153000		0.060000		-0.063533
0.154000		0.060000		-0.061421
0.155000		0.060000		-0.059390
0.156000		0.060000		-0.057439
0.157000		0.060000		-0.055562
0.158000		0.060000		-0.053758
0.159000		0.060000		-0.052022
0.160000		0.060000		-0.050352
0.161000		0.060000		-0.048745
0.162000		0.060000		-0.047199
0.163000		0.060000		-0.045710
0.164000		0.060000		-0.044277
0.165000		0.060000		-0.042897
0.166000		0.060000		-0.041568
0.167000		0.060000		-0.040288
0.168000		0.060000		-0.039054
0.169000		0.060000		-0.037866
0.170000		0.060000		-0.036720
0.171000		0.060000		-0.035616
0.172000		0.060000		-0.034551
0.173000		0.060000		-0.033525
0.174000		0.060000		-0.032535
0.175000		0.060000		-0.031580
0.176000		0.060000		-0.030659
0.177000		0.060000		-0.029770
0.178000		0.060000		-0.028912
0.179000		0.060000		-0.028084
0.180000		0.060000		-0.027284
0.181000		0.060000		-0.026513
0.182000		0.060000		-0.025767
0.183000		0.060000		-0.025047
0.184000		0.060000		-0.024352
0.185000		0.060000		-0.023680
0.186000		0.060000		-0.023031
0.187000		0.060000		-0.022404
0.188000		0.060000		-0.021797
0.189000		0.060000		-0.021211
0.190000		0.060000		-0.020644
0.191000		0.060000		-0.020096
0.192000		0.060000		-0.019566
0.193000		0.060000		-0.019053
0.194000		0.060000		-0.018557
0.195000		0.060000		-0.018077
0.196000		0.060000		-0.017612
0.197000		0.060000		-0.017162
0.198000		0.060000		-0.016727
0.199000		0.060000		-0.016305
0.200000		0.060000		-0.015897
0.100000		0.070000		-0.561260
0.101000		0.070000		-0.533275
0.102000		0.070000		-0.506967
0.103000		0.070000		-0.482217
0.104000		0.070000		-0.458918
0.105000		0.070000		-0.436970
0.106000		0.070000		-0.416279
0.107000		0.070000		-0.396763
0.108000		0.070000		-0.378341
0.109000		0.070000		-0.360943
0.110000		0.070000		-0.344501
0.111000		0.070000		-0.328953
0.112000		0.070000		-0.314242
0.113000		0.070000		-0.300315
0.114000		0.070000		-0.287123
0.115000		0.070000		-0.274621
0.116000		0.070000		-0.262765
0.117000		0.070000		-0.251517
0.118000		0.070000		-0.240840
0.119000		0.070000		-0.230700
0.120000		0.070000		-0.221065
0.121000		0.070000		-0.211906
0.122000		0.070000		-0.203195
0.123000		0.070000		-0.194906
0.124000		0.070000		-0.187016
0.125000		0.070000		-0.179502
0.126000		0.070000		-0.172343
0.127000		0.070000		-0.165520
0.128000		0.070000		-0.159013
0.129000		0.070000		-0.152807
0.130000		0.070000		-0.146885
0.131000		0.070000		-0.141231
0.132000		0.070000		-0.135833
0.133000		0.070000		-0.130675
0.134000		0.070000		-0.125747
0.135000		0.070000		-0.121035
0.136000		0.070000		-0.116530
0.137000		0.070000		-0.112220
0.138000		0.070000		-0.108097
0.139000		0.070000		-0.104150
0.140000		0.070000		-0.100371
0.141000		0.070000		-0.096752
0.142000		0.070000		-0.093285
0.143000		0.070000		-0.089963
0.144000		0.070000		-0.086779
0.145000		0.070000		-0.083726
0.146000		0.070000		-0.080799
0.147000		0.070000		-0.077991
0.148000		0.070000		-0.075296
0.149000		0.070000		-0.072711
0.150000		0.070000		-0.070229
0.151000		0.070000		-0.067846
0.152000		0.070000		-0.065557
0.153000		0.070000		-0.063359
0.154000		0.070000		-0.061247
0.155000		0.070000		-0.059218
0.156000		0.070000		-0.057267
0.157000		0.070000		-0.055392
0.158000		0.070000		-0.053589
0.159000		0.070000		-0.051855
0.160000		0.070000		-0.050187
0.161000		0.070000		-0.048582
0.162000		0.070000		-0.047037
0.163000		0.070000		-0.045551
0.164000		0.070000		-0.044120
0.165000		0.070000		-0.042743
0.166000		0.070000		-0.041416
0.167000		0.070000		-0.040138
0.168000		0.070000		-0.038907
0.169000		0.070000		-0.037721
0.170000		0.070000		-0.036579
0.171000		0.070000		-0.035477
0.172000		0.070000		-0.034415
0.173000		0.070000		-0.033391
0.174000		0.070000		-0.032404
0.175000		0.070000		-0.031452
0.176000		0.070000		-0.030533
0.177000		0.070000		-0.029647
0.178000		0.070000		-0.028791
0.179000		0.070000		-0.027966
0.180000		0.070000		-0.027169
0.181000		0.070000		-0.026400
0.182000		0.070000		-0.025657
0.183000		0.070000		-0.024940
0.184000		0.070000		-0.024247
0.185000		0.070000		-0.023578
0.186000		0.070000		-0.022931
0.187000		0.070000		-0.022306
0.188000		0.070000		-0.021702
0.189000		0.070000		-0.021118
0.190000		0.070000		-0.020553
0.191000		0.070000		-0.020007
0.192000		0.070000		-0.019479
0.193000		0.070000		-0.018968
0.194000		0.070000		-0.018474
0.195000		0.070000		-0.017996
0.196000		0.070000		-0.017533
0.197000		0.070000		-0.017085
0.198000		0.070000		-0.016652
0.199000		0.070000		-0.016232
0.200000		0.070000		-0.015826
0.100000		0.080000		-0.563569
0.101000		0.080000		-0.535427
0.102000		0.080000		-0.508968
0.103000		0.080000		-0.484074
0.104000		0.080000		-0.460638
0.105000		0.080000		-0.438558
0.106000		0.080000		-0.417744
0.107000		0.080000		-0.398109
0.108000		0.080000		-0.379576
0.109000		0.080000		-0.362072
0.110000		0.080000		-0.345530
0.111000		0.080000		-0.329888
0.112000		0.080000		-0.315089
0.113000		0.080000		-0.301079
0.114000		0.080000		-0.287809
0.115000		0.080000		-0.275233
0.116000		0.080000		-0.263308
0.117000		0.080000		-0.251996
0.118000		0.080000		-0.241259
0.119000		0.080000		-0.231063
0.120000		0.080000		-0.221376
0.121000		0.080000		-0.212168
0.122000		0.080000		-0.203412
0.123000		0.080000		-0.195082
0.124000		0.080000		-0.187153
0.125000		0.080000		-0.179603
0.126000		0.080000		-0.172412
0.127000		0.080000		-0.165558
0.128000		0.080000		-0.159024
0.129000		0.080000		-0.152792
0.130000		0.080000		-0.146847
0.131000		0.080000		-0.141172
0.132000		0.080000		-0.135754
0.133000		0.080000		-0.130580
0.134000		0.080000		-0.125635
0.135000		0.080000		-0.120910
0.136000		0.080000		-0.116392
0.137000		0.080000		-0.112071
0.138000		0.080000		-0.107937
0.139000		0.080000		-0.103982
0.140000		0.080000		-0.100195
0.141000		0.080000		-0.096570
