100
100
T [fm^-1]		muB [fm^-1]		G_dfce [1]
0.580000		0.164848		0.313948
0.582424		0.164848		0.314147
0.584848		0.164848		0.314360
0.587273		0.164848		0.314586
0.589697		0.164848		0.314825
0.592121		0.164848		0.315077
0.594545		0.164848		0.315342
0.596970		0.164848		0.315618
0.599394		0.164848		0.315906
0.601818		0.164848		0.316206
0.604242		0.164848		0.316516
0.606667		0.164848		0.316838
0.609091		0.164848		0.317170
0.611515		0.164848		0.317512
0.613939		0.164848		0.317864
0.616364		0.164848		0.318226
0.618788		0.164848		0.318598
0.621212		0.164848		0.318978
0.623636		0.164848		0.319367
0.626061		0.164848		0.319765
0.628485		0.164848		0.320172
0.630909		0.164848		0.320586
0.633333		0.164848		0.321008
0.635758		0.164848		0.321438
0.638182		0.164848		0.321875
0.640606		0.164848		0.322320
0.643030		0.164848		0.322771
0.645455		0.164848		0.323229
0.647879		0.164848		0.323693
0.650303		0.164848		0.324164
0.652727		0.164848		0.324640
0.655152		0.164848		0.325122
0.657576		0.164848		0.325610
0.660000		0.164848		0.326103
0.662424		0.164848		0.326602
0.664848		0.164848		0.327105
0.667273		0.164848		0.327613
0.669697		0.164848		0.328126
0.672121		0.164848		0.328643
0.674545		0.164848		0.329165
0.676970		0.164848		0.329690
0.679394		0.164848		0.330219
0.681818		0.164848		0.330752
0.684242		0.164848		0.331289
0.686667		0.164848		0.331829
0.689091		0.164848		0.332372
0.691515		0.164848		0.332918
0.693939		0.164848		0.333468
0.696364		0.164848		0.334020
0.698788		0.164848		0.334574
0.701212		0.164848		0.335131
0.703636		0.164848		0.335691
0.706061		0.164848		0.336252
0.708485		0.164848		0.336816
0.710909		0.164848		0.337382
0.713333		0.164848		0.337949
0.715758		0.164848		0.338519
0.718182		0.164848		0.339089
0.720606		0.164848		0.339662
0.723030		0.164848		0.340235
0.725455		0.164848		0.340810
0.727879		0.164848		0.341386
0.730303		0.164848		0.341964
0.732727		0.164848		0.342542
0.735152		0.164848		0.343121
0.737576		0.164848		0.343700
0.740000		0.164848		0.344281
0.742424		0.164848		0.344861
0.744848		0.164848		0.345443
0.747273		0.164848		0.346024
0.749697		0.164848		0.346606
0.752121		0.164848		0.347189
0.754545		0.164848		0.347771
0.756970		0.164848		0.348353
0.759394		0.164848		0.348936
0.761818		0.164848		0.349518
0.764242		0.164848		0.350100
0.766667		0.164848		0.350682
0.769091		0.164848		0.351264
0.771515		0.164848		0.351845
0.773939		0.164848		0.352425
0.776364		0.164848		0.353006
0.778788		0.164848		0.353585
0.781212		0.164848		0.354165
0.783636		0.164848		0.354743
0.786061		0.164848		0.355321
0.788485		0.164848		0.355897
0.790909		0.164848		0.356474
0.793333		0.164848		0.357049
0.795758		0.164848		0.357623
0.798182		0.164848		0.358196
0.800606		0.164848		0.358768
0.803030		0.164848		0.359339
0.805455		0.164848		0.359909
0.807879		0.164848		0.360478
0.810303		0.164848		0.361046
0.812727		0.164848		0.361612
0.815152		0.164848		0.362177
0.817576		0.164848		0.362741
0.820000		0.164848		0.363304
0.580000		0.192323		0.363562
0.582424		0.192323		0.363837
0.584848		0.192323		0.364128
0.587273		0.192323		0.364433
0.589697		0.192323		0.364753
0.592121		0.192323		0.365088
0.594545		0.192323		0.365436
0.596970		0.192323		0.365798
0.599394		0.192323		0.366173
0.601818		0.192323		0.366561
0.604242		0.192323		0.366962
0.606667		0.192323		0.367375
0.609091		0.192323		0.367799
0.611515		0.192323		0.368235
0.613939		0.192323		0.368683
0.616364		0.192323		0.369141
0.618788		0.192323		0.369610
0.621212		0.192323		0.370089
0.623636		0.192323		0.370578
0.626061		0.192323		0.371076
0.628485		0.192323		0.371584
0.630909		0.192323		0.372101
0.633333		0.192323		0.372627
0.635758		0.192323		0.373161
0.638182		0.192323		0.373703
0.640606		0.192323		0.374254
0.643030		0.192323		0.374812
0.645455		0.192323		0.375377
0.647879		0.192323		0.375949
0.650303		0.192323		0.376529
0.652727		0.192323		0.377115
0.655152		0.192323		0.377707
0.657576		0.192323		0.378305
0.660000		0.192323		0.378910
0.662424		0.192323		0.379520
0.664848		0.192323		0.380136
0.667273		0.192323		0.380756
0.669697		0.192323		0.381382
0.672121		0.192323		0.382013
