T [fm^-1]		muB [fm^-1]		betaV_dfce [fm^-3]
0.679394		0.192323		0.000946
0.681818		0.192323		0.000985
0.684242		0.192323		0.001025
0.686667		0.192323		0.001066
0.689091		0.192323		0.001108
0.691515		0.192323		0.001152
0.693939		0.192323		0.001198
0.696364		0.192323		0.001245
0.698788		0.192323		0.001293
0.701212		0.192323		0.001344
0.703636		0.192323		0.001396
0.706061		0.192323		0.001450
0.708485		0.192323		0.001505
0.710909		0.192323		0.001562
0.713333		0.192323		0.001622
0.715758		0.192323		0.001683
0.718182		0.192323		0.001746
0.720606		0.192323		0.001811
0.723030		0.192323		0.001879
0.725455		0.192323		0.001948
0.727879		0.192323		0.002020
0.730303		0.192323		0.002094
0.732727		0.192323		0.002170
0.735152		0.192323		0.002249
0.737576		0.192323		0.002330
0.740000		0.192323		0.002413
0.742424		0.192323		0.002500
0.744848		0.192323		0.002589
0.747273		0.192323		0.002680
0.749697		0.192323		0.002774
0.752121		0.192323		0.002872
0.754545		0.192323		0.002972
0.756970		0.192323		0.003075
0.759394		0.192323		0.003181
0.761818		0.192323		0.003291
0.764242		0.192323		0.003403
0.766667		0.192323		0.003519
0.769091		0.192323		0.003639
0.771515		0.192323		0.003761
0.773939		0.192323		0.003888
0.776364		0.192323		0.004018
0.778788		0.192323		0.004152
0.781212		0.192323		0.004289
0.783636		0.192323		0.004431
0.786061		0.192323		0.004576
0.788485		0.192323		0.004726
0.790909		0.192323		0.004879
0.793333		0.192323		0.005037
0.795758		0.192323		0.005200
0.798182		0.192323		0.005367
0.800606		0.192323		0.005538
0.803030		0.192323		0.005714
0.805455		0.192323		0.005895
0.807879		0.192323		0.006081
0.810303		0.192323		0.006272
0.812727		0.192323		0.006468
0.815152		0.192323		0.006669
0.817576		0.192323		0.006875
0.820000		0.192323		0.007087
0.580000		0.219798		0.000153
0.582424		0.219798		0.000161
0.584848		0.219798		0.000169
0.587273		0.219798		0.000178
0.589697		0.219798		0.000187
0.592121		0.219798		0.000196
0.594545		0.219798		0.000206
0.596970		0.219798		0.000216
0.599394		0.219798		0.000227
0.601818		0.219798		0.000238
0.604242		0.219798		0.000250
0.606667		0.219798		0.000262
0.609091		0.219798		0.000274
0.611515		0.219798		0.000287
0.613939		0.219798		0.000301
0.616364		0.219798		0.000315
0.618788		0.219798		0.000330
0.621212		0.219798		0.000345
0.623636		0.219798		0.000361
0.626061		0.219798		0.000378
0.628485		0.219798		0.000395
0.630909		0.219798		0.000413
0.633333		0.219798		0.000432
0.635758		0.219798		0.000451
0.638182		0.219798		0.000471
0.640606		0.219798		0.000492
0.643030		0.219798		0.000514
0.645455		0.219798		0.000536
0.647879		0.219798		0.000560
0.650303		0.219798		0.000584
0.652727		0.219798		0.000609
0.655152		0.219798		0.000636
0.657576		0.219798		0.000663
0.660000		0.219798		0.000691
0.662424		0.219798		0.000720
0.664848		0.219798		0.000750
0.667273		0.219798		0.000782
0.669697		0.219798		0.000814
0.672121		0.219798		0.000848
0.674545		0.219798		0.000883
0.676970		0.219798		0.000919
0.679394		0.219798		0.000956
0.681818		0.219798		0.000995
0.684242		0.219798		0.001035
0.686667		0.219798		0.001076
0.689091		0.219798		0.001119
0.691515		0.219798		0.001164
0.693939		0.219798		0.001210
0.696364		0.219798		0.001257
0.698788		0.219798		0.001306
0.701212		0.219798		0.001357
0.703636		0.219798		0.001409
0.706061		0.219798		0.001463
0.708485		0.219798		0.001519
0.710909		0.219798		0.001577
0.713333		0.219798		0.001637
0.715758		0.219798		0.001698
0.718182		0.219798		0.001762
0.720606		0.219798		0.001828
0.723030		0.219798		0.001895
0.725455		0.219798		0.001965
0.727879		0.219798		0.002038
0.730303		0.219798		0.002112
0.732727		0.219798		0.002189
0.735152		0.219798		0.002268
0.737576		0.219798		0.002350
0.740000		0.219798		0.002434
0.742424		0.219798		0.002521
0.744848		0.219798		0.002610
0.747273		0.219798		0.002702
0.749697		0.219798		0.002797
0.752121		0.219798		0.002895
0.754545		0.219798		0.002996
0.756970		0.219798		0.003100
0.759394		0.219798		0.003207
0.761818		0.219798		0.003317
0.764242		0.219798		0.003430
0.766667		0.219798		0.003547
0.769091		0.219798		0.003667
0.771515		0.219798		0.003790
0.773939		0.219798		0.003917
0.776364		0.219798		0.004048
0.778788		0.219798		0.004183
0.781212		0.219798		0.004321
0.783636		0.219798		0.004463
0.786061		0.219798		0.004610
0.788485		0.219798		0.004760
0.790909		0.219798		0.004915
0.793333		0.219798		0.005074
0.795758		0.219798		0.005237
0.798182		0.219798		0.005405
0.800606		0.219798		0.005577
0.803030		0.219798		0.005754
0.805455		0.219798		0.005936
0.807879		0.219798		0.006123
0.810303		0.219798		0.006315
0.812727		0.219798		0.006512
0.815152		0.219798		0.006714
0.817576		0.219798		0.006922
0.820000		0.219798		0.007135
0.580000		0.247273		0.000156
0.582424		0.247273		0.000164
0.584848		0.247273		0.000172
0.587273		0.247273		0.000181
0.589697		0.247273		0.000190
0.592121		0.247273		0.000200
0.594545		0.247273		0.000209
0.596970		0.247273		0.000220
0.599394		0.247273		0.000230
0.601818		0.247273		0.000242
0.604242		0.247273		0.000253
0.606667		0.247273		0.000266
0.609091		0.247273		0.000278
0.611515		0.247273		0.000292
0.613939		0.247273		0.000305
0.616364		0.247273		0.000320
0.618788		0.247273		0.000335
0.621212		0.247273		0.000350
0.623636		0.247273		0.000366
0.626061		0.247273		0.000383
0.628485		0.247273		0.000401
0.630909		0.247273		0.000419
0.633333		0.247273		0.000438
0.635758		0.247273		0.000457
