101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.119000		0.050000		-0.577388
0.120000		0.050000		-0.539233
0.121000		0.050000		-0.504064
0.122000		0.050000		-0.471613
0.123000		0.050000		-0.441639
0.124000		0.050000		-0.413925
0.125000		0.050000		-0.388276
0.126000		0.050000		-0.364515
0.127000		0.050000		-0.342483
0.128000		0.050000		-0.322035
0.129000		0.050000		-0.303040
0.130000		0.050000		-0.285379
0.131000		0.050000		-0.268946
0.132000		0.050000		-0.253641
0.133000		0.050000		-0.239375
0.134000		0.050000		-0.226068
0.135000		0.050000		-0.213645
0.136000		0.050000		-0.202038
0.137000		0.050000		-0.191186
0.138000		0.050000		-0.181032
0.139000		0.050000		-0.171525
0.140000		0.050000		-0.162617
0.141000		0.050000		-0.154264
0.142000		0.050000		-0.146426
0.143000		0.050000		-0.139067
0.144000		0.050000		-0.132153
0.145000		0.050000		-0.125653
0.146000		0.050000		-0.119539
0.147000		0.050000		-0.113783
0.148000		0.050000		-0.108362
0.149000		0.050000		-0.103253
0.150000		0.050000		-0.098435
0.151000		0.050000		-0.093889
0.152000		0.050000		-0.089597
0.153000		0.050000		-0.085544
0.154000		0.050000		-0.081713
0.155000		0.050000		-0.078090
0.156000		0.050000		-0.074662
0.157000		0.050000		-0.071418
0.158000		0.050000		-0.068345
0.159000		0.050000		-0.065434
0.160000		0.050000		-0.062674
0.161000		0.050000		-0.060056
0.162000		0.050000		-0.057571
0.163000		0.050000		-0.055213
0.164000		0.050000		-0.052973
0.165000		0.050000		-0.050844
0.166000		0.050000		-0.048821
0.167000		0.050000		-0.046896
0.168000		0.050000		-0.045065
0.169000		0.050000		-0.043321
0.170000		0.050000		-0.041661
0.171000		0.050000		-0.040080
0.172000		0.050000		-0.038572
0.173000		0.050000		-0.037135
0.174000		0.050000		-0.035764
0.175000		0.050000		-0.034455
0.176000		0.050000		-0.033207
0.177000		0.050000		-0.032014
0.178000		0.050000		-0.030874
0.179000		0.050000		-0.029785
0.180000		0.050000		-0.028744
0.181000		0.050000		-0.027749
0.182000		0.050000		-0.026796
0.183000		0.050000		-0.025884
0.184000		0.050000		-0.025012
0.185000		0.050000		-0.024176
0.186000		0.050000		-0.023375
0.187000		0.050000		-0.022607
0.188000		0.050000		-0.021871
0.189000		0.050000		-0.021165
0.190000		0.050000		-0.020488
0.191000		0.050000		-0.019839
0.192000		0.050000		-0.019215
0.193000		0.050000		-0.018616
0.194000		0.050000		-0.018041
0.195000		0.050000		-0.017488
0.196000		0.050000		-0.016957
0.197000		0.050000		-0.016447
0.198000		0.050000		-0.015955
0.199000		0.050000		-0.015483
0.200000		0.050000		-0.015029
0.100000		0.060000		-2.498480
0.101000		0.060000		-2.282878
0.102000		0.060000		-2.089047
0.103000		0.060000		-1.914490
0.104000		0.060000		-1.757029
0.105000		0.060000		-1.614758
0.106000		0.060000		-1.486009
0.107000		0.060000		-1.369318
0.108000		0.060000		-1.263399
0.109000		0.060000		-1.167118
0.110000		0.060000		-1.079473
0.111000		0.060000		-0.999580
0.112000		0.060000		-0.926657
0.113000		0.060000		-0.860007
0.114000		0.060000		-0.799015
0.115000		0.060000		-0.743130
0.116000		0.060000		-0.691864
0.117000		0.060000		-0.644779
0.118000		0.060000		-0.601484
0.119000		0.060000		-0.561630
0.120000		0.060000		-0.524904
0.121000		0.060000		-0.491023
0.122000		0.060000		-0.459736
0.123000		0.060000		-0.430813
0.124000		0.060000		-0.404050
0.125000		0.060000		-0.379262
0.126000		0.060000		-0.356282
0.127000		0.060000		-0.334957
0.128000		0.060000		-0.315150
0.129000		0.060000		-0.296738
0.130000		0.060000		-0.279608
0.131000		0.060000		-0.263656
0.132000		0.060000		-0.248790
0.133000		0.060000		-0.234924
0.134000		0.060000		-0.221981
0.135000		0.060000		-0.209890
0.136000		0.060000		-0.198587
0.137000		0.060000		-0.188012
0.138000		0.060000		-0.178111
0.139000		0.060000		-0.168835
0.140000		0.060000		-0.160138
0.141000		0.060000		-0.151979
0.142000		0.060000		-0.144319
0.143000		0.060000		-0.137123
0.144000		0.060000		-0.130359
0.145000		0.060000		-0.123996
0.146000		0.060000		-0.118007
0.147000		0.060000		-0.112367
0.148000		0.060000		-0.107052
0.149000		0.060000		-0.102041
0.150000		0.060000		-0.097313
0.151000		0.060000		-0.092850
0.152000		0.060000		-0.088635
0.153000		0.060000		-0.084651
0.154000		0.060000		-0.080885
0.155000		0.060000		-0.077322
0.156000		0.060000		-0.073950
0.157000		0.060000		-0.070756
0.158000		0.060000		-0.067731
0.159000		0.060000		-0.064863
0.160000		0.060000		-0.062143
0.161000		0.060000		-0.059562
0.162000		0.060000		-0.057112
0.163000		0.060000		-0.054785
0.164000		0.060000		-0.052575
0.165000		0.060000		-0.050474
0.166000		0.060000		-0.048475
0.167000		0.060000		-0.046574
0.168000		0.060000		-0.044765
0.169000		0.060000		-0.043041
0.170000		0.060000		-0.041400
0.171000		0.060000		-0.039836
0.172000		0.060000		-0.038345
0.173000		0.060000		-0.036922
0.174000		0.060000		-0.035565
0.175000		0.060000		-0.034270
0.176000		0.060000		-0.033033
0.177000		0.060000		-0.031852
0.178000		0.060000		-0.030723
0.179000		0.060000		-0.029644
0.180000		0.060000		-0.028612
0.181000		0.060000		-0.027625
0.182000		0.060000		-0.026680
0.183000		0.060000		-0.025776
0.184000		0.060000		-0.024910
0.185000		0.060000		-0.024080
0.186000		0.060000		-0.023285
0.187000		0.060000		-0.022523
0.188000		0.060000		-0.021793
0.189000		0.060000		-0.021092
0.190000		0.060000		-0.020419
0.191000		0.060000		-0.019774
0.192000		0.060000		-0.019154
0.193000		0.060000		-0.018559
0.194000		0.060000		-0.017988
0.195000		0.060000		-0.017438
0.196000		0.060000		-0.016910
0.197000		0.060000		-0.016402
0.198000		0.060000		-0.015914
0.199000		0.060000		-0.015444
0.200000		0.060000		-0.014992
0.100000		0.070000		-2.372885
0.101000		0.070000		-2.170796
0.102000		0.070000		-1.988886
0.103000		0.070000		-1.824862
0.104000		0.070000		-1.676723
0.105000		0.070000		-1.542714
0.106000		0.070000		-1.421299
0.107000		0.070000		-1.311129
0.108000		0.070000		-1.211014
0.109000		0.070000		-1.119905
0.110000		0.070000		-1.036877
0.111000		0.070000		-0.961111
0.112000		0.070000		-0.891879
0.113000		0.070000		-0.828537
0.114000		0.070000		-0.770511
0.115000		0.070000		-0.717289
0.116000		0.070000		-0.668416
0.117000		0.070000		-0.623484
0.118000		0.070000		-0.582129
0.119000		0.070000		-0.544024
0.120000		0.070000		-0.508875
0.121000		0.070000		-0.476420
0.122000		0.070000		-0.446420
0.123000		0.070000		-0.418663
0.124000		0.070000		-0.392957
0.125000		0.070000		-0.369125
0.126000		0.070000		-0.347013
0.127000		0.070000		-0.326476
0.128000		0.070000		-0.307385
0.129000		0.070000		-0.289624
0.130000		0.070000		-0.273086
0.131000		0.070000		-0.257674
0.132000		0.070000		-0.243299
0.133000		0.070000		-0.229881
0.134000		0.070000		-0.217347
0.135000		0.070000		-0.205629
0.136000		0.070000		-0.194667
0.137000		0.070000		-0.184404
0.138000		0.070000		-0.174788
0.139000		0.070000		-0.165774
0.140000		0.070000		-0.157316
0.141000		0.070000		-0.149376
0.142000		0.070000		-0.141917
0.143000		0.070000		-0.134905
0.144000		0.070000		-0.128310
0.145000		0.070000		-0.122102
0.146000		0.070000		-0.116256
0.147000		0.070000		-0.110748
0.148000		0.070000		-0.105553
0.149000		0.070000		-0.100653
0.150000		0.070000		-0.096028
0.151000		0.070000		-0.091659
0.152000		0.070000		-0.087531
0.153000		0.070000		-0.083627
0.154000		0.070000		-0.079935
0.155000		0.070000		-0.076440
0.156000		0.070000		-0.073131
0.157000		0.070000		-0.069996
0.158000		0.070000		-0.067024
0.159000		0.070000		-0.064206
0.160000		0.070000		-0.061532
0.161000		0.070000		-0.058993
0.162000		0.070000		-0.056583
0.163000		0.070000		-0.054293
0.164000		0.070000		-0.052116
0.165000		0.070000		-0.050046
0.166000		0.070000		-0.048077
0.167000		0.070000		-0.046203
0.168000		0.070000		-0.044418
0.169000		0.070000		-0.042719
0.170000		0.070000		-0.041099
0.171000		0.070000		-0.039555
0.172000		0.070000		-0.038082
0.173000		0.070000		-0.036677
0.174000		0.070000		-0.035336
0.175000		0.070000		-0.034056
0.176000		0.070000		-0.032833
0.177000		0.070000		-0.031665
0.178000		0.070000		-0.030548
0.179000		0.070000		-0.029480
0.180000		0.070000		-0.028459
0.181000		0.070000		-0.027482
0.182000		0.070000		-0.026546
0.183000		0.070000		-0.025650
0.184000		0.070000		-0.024792
0.185000		0.070000		-0.023970
0.186000		0.070000		-0.023182
0.187000		0.070000		-0.022427
0.188000		0.070000		-0.021702
0.189000		0.070000		-0.021007
0.190000		0.070000		-0.020340
0.191000		0.070000		-0.019699
0.192000		0.070000		-0.019084
0.193000		0.070000		-0.018494
0.194000		0.070000		-0.017926
0.195000		0.070000		-0.017381
0.196000		0.070000		-0.016856
0.197000		0.070000		-0.016352
0.198000		0.070000		-0.015866
0.199000		0.070000		-0.015399
0.200000		0.070000		-0.014950
0.100000		0.080000		-2.240890
0.101000		0.080000		-2.052783
0.102000		0.080000		-1.883232
0.103000		0.080000		-1.730150
0.104000		0.080000		-1.591712
0.105000		0.080000		-1.466319
0.106000		0.080000		-1.352566
0.107000		0.080000		-1.249218
0.108000		0.080000		-1.155187
0.109000		0.080000		-1.069511
0.110000		0.080000		-0.991341
0.111000		0.080000		-0.919923
0.112000		0.080000		-0.854588
0.113000		0.080000		-0.794742
0.114000		0.080000		-0.739857
0.115000		0.080000		-0.689459
0.116000		0.080000		-0.643129
0.117000		0.080000		-0.600488
0.118000		0.080000		-0.561199
0.119000		0.080000		-0.524959
0.120000		0.080000		-0.491497
0.121000		0.080000		-0.460567
0.122000		0.080000		-0.431948
0.123000		0.080000		-0.405442
0.124000		0.080000		-0.380870
0.125000		0.080000		-0.358069
0.126000		0.080000		-0.336891
0.127000		0.080000		-0.317205
0.128000		0.080000		-0.298888
0.129000		0.080000		-0.281831
0.130000		0.080000		-0.265934
0.131000		0.080000		-0.251107
0.132000		0.080000		-0.237265
0.133000		0.080000		-0.224334
0.134000		0.080000		-0.212245
0.135000		0.080000		-0.200934
0.136000		0.080000		-0.190344
0.137000		0.080000		-0.180421
0.138000		0.080000		-0.171117
0.139000		0.080000		-0.162388
0.140000		0.080000		-0.154192
0.141000		0.080000		-0.146492
0.142000		0.080000		-0.139254
0.143000		0.080000		-0.132444
0.144000		0.080000		-0.126035
0.145000		0.080000		-0.119999
0.146000		0.080000		-0.114310
0.147000		0.080000		-0.108946
0.148000		0.080000		-0.103885
0.149000		0.080000		-0.099107
0.150000		0.080000		-0.094595
0.151000		0.080000		-0.090330
0.152000		0.080000		-0.086298
0.153000		0.080000		-0.082484
0.154000		0.080000		-0.078873
0.155000		0.080000		-0.075454
