100
100
T [fm^-1]		muB [fm^-1]		F_dfce [fm^-1]
0.611515		0.137374		-0.175714
0.613939		0.137374		-0.176895
0.616364		0.137374		-0.178083
0.618788		0.137374		-0.179278
0.621212		0.137374		-0.180479
0.623636		0.137374		-0.181688
0.626061		0.137374		-0.182903
0.628485		0.137374		-0.184125
0.630909		0.137374		-0.185354
0.633333		0.137374		-0.186590
0.635758		0.137374		-0.187832
0.638182		0.137374		-0.189081
0.640606		0.137374		-0.190337
0.643030		0.137374		-0.191599
0.645455		0.137374		-0.192868
0.647879		0.137374		-0.194144
0.650303		0.137374		-0.195426
0.652727		0.137374		-0.196714
0.655152		0.137374		-0.198009
0.657576		0.137374		-0.199310
0.660000		0.137374		-0.200618
0.662424		0.137374		-0.201932
0.664848		0.137374		-0.203253
0.667273		0.137374		-0.204580
0.669697		0.137374		-0.205913
0.672121		0.137374		-0.207252
0.674545		0.137374		-0.208598
0.676970		0.137374		-0.209949
0.679394		0.137374		-0.211308
0.681818		0.137374		-0.212672
0.684242		0.137374		-0.214042
0.686667		0.137374		-0.215418
0.689091		0.137374		-0.216801
0.691515		0.137374		-0.218189
0.693939		0.137374		-0.219584
0.696364		0.137374		-0.220984
0.698788		0.137374		-0.222391
0.701212		0.137374		-0.223803
0.703636		0.137374		-0.225222
0.706061		0.137374		-0.226646
0.708485		0.137374		-0.228076
0.710909		0.137374		-0.229512
0.713333		0.137374		-0.230954
0.715758		0.137374		-0.232401
0.718182		0.137374		-0.233855
0.720606		0.137374		-0.235314
0.723030		0.137374		-0.236778
0.725455		0.137374		-0.238249
0.727879		0.137374		-0.239725
0.730303		0.137374		-0.241207
0.732727		0.137374		-0.242694
0.735152		0.137374		-0.244187
0.737576		0.137374		-0.245685
0.740000		0.137374		-0.247189
0.742424		0.137374		-0.248699
0.744848		0.137374		-0.250214
0.747273		0.137374		-0.251735
0.749697		0.137374		-0.253261
0.752121		0.137374		-0.254792
0.754545		0.137374		-0.256329
0.756970		0.137374		-0.257872
0.759394		0.137374		-0.259419
0.761818		0.137374		-0.260972
0.764242		0.137374		-0.262531
0.766667		0.137374		-0.264094
0.769091		0.137374		-0.265663
0.771515		0.137374		-0.267238
0.773939		0.137374		-0.268817
0.776364		0.137374		-0.270402
0.778788		0.137374		-0.271992
0.781212		0.137374		-0.273588
0.783636		0.137374		-0.275188
0.786061		0.137374		-0.276794
0.788485		0.137374		-0.278404
0.790909		0.137374		-0.280020
0.793333		0.137374		-0.281641
0.795758		0.137374		-0.283267
0.798182		0.137374		-0.284899
0.800606		0.137374		-0.286535
0.803030		0.137374		-0.288176
0.805455		0.137374		-0.289823
0.807879		0.137374		-0.291474
0.810303		0.137374		-0.293131
0.812727		0.137374		-0.294792
0.815152		0.137374		-0.296458
0.817576		0.137374		-0.298130
0.820000		0.137374		-0.299806
0.580000		0.164848		-0.161294
0.582424		0.164848		-0.162389
0.584848		0.164848		-0.163491
0.587273		0.164848		-0.164600
0.589697		0.164848		-0.165717
0.592121		0.164848		-0.166840
0.594545		0.164848		-0.167971
0.596970		0.164848		-0.169109
0.599394		0.164848		-0.170254
0.601818		0.164848		-0.171406
0.604242		0.164848		-0.172565
0.606667		0.164848		-0.173731
0.609091		0.164848		-0.174904
0.611515		0.164848		-0.176084
0.613939		0.164848		-0.177271
0.616364		0.164848		-0.178465
0.618788		0.164848		-0.179666
0.621212		0.164848		-0.180874
0.623636		0.164848		-0.182089
0.626061		0.164848		-0.183310
0.628485		0.164848		-0.184539
0.630909		0.164848		-0.185774
0.633333		0.164848		-0.187015
0.635758		0.164848		-0.188264
0.638182		0.164848		-0.189519
0.640606		0.164848		-0.190781
0.643030		0.164848		-0.192049
0.645455		0.164848		-0.193324
0.647879		0.164848		-0.194606
0.650303		0.164848		-0.195894
0.652727		0.164848		-0.197189
0.655152		0.164848		-0.198490
0.657576		0.164848		-0.199797
0.660000		0.164848		-0.201111
0.662424		0.164848		-0.202432
0.664848		0.164848		-0.203758
0.667273		0.164848		-0.205091
0.669697		0.164848		-0.206431
0.672121		0.164848		-0.207776
0.674545		0.164848		-0.209128
0.676970		0.164848		-0.210486
0.679394		0.164848		-0.211850
0.681818		0.164848		-0.213220
0.684242		0.164848		-0.214597
0.686667		0.164848		-0.215979
0.689091		0.164848		-0.217368
0.691515		0.164848		-0.218763
0.693939		0.164848		-0.220163
0.696364		0.164848		-0.221570
0.698788		0.164848		-0.222983
0.701212		0.164848		-0.224401
0.703636		0.164848		-0.225826
0.706061		0.164848		-0.227256
0.708485		0.164848		-0.228692
0.710909		0.164848		-0.230134
0.713333		0.164848		-0.231582
0.715758		0.164848		-0.233035
0.718182		0.164848		-0.234494
0.720606		0.164848		-0.235959
0.723030		0.164848		-0.237430
0.725455		0.164848		-0.238906
0.727879		0.164848		-0.240388
0.730303		0.164848		-0.241876
0.732727		0.164848		-0.243369
0.735152		0.164848		-0.244868
0.737576		0.164848		-0.246372
0.740000		0.164848		-0.247882
0.742424		0.164848		-0.249398
0.744848		0.164848		-0.250918
0.747273		0.164848		-0.252445
0.749697		0.164848		-0.253976
0.752121		0.164848		-0.255514
0.754545		0.164848		-0.257056
0.756970		0.164848		-0.258604
0.759394		0.164848		-0.260157
0.761818		0.164848		-0.261716
0.764242		0.164848		-0.263280
0.766667		0.164848		-0.264849
0.769091		0.164848		-0.266424
0.771515		0.164848		-0.268004
0.773939		0.164848		-0.269589
0.776364		0.164848		-0.271179
0.778788		0.164848		-0.272774
0.781212		0.164848		-0.274375
0.783636		0.164848		-0.275981
0.786061		0.164848		-0.277592
0.788485		0.164848		-0.279208
0.790909		0.164848		-0.280829
0.793333		0.164848		-0.282455
0.795758		0.164848		-0.284087
0.798182		0.164848		-0.285723
0.800606		0.164848		-0.287365
0.803030		0.164848		-0.289011
0.805455		0.164848		-0.290663
0.807879		0.164848		-0.292319
0.810303		0.164848		-0.293981
0.812727		0.164848		-0.295647
0.815152		0.164848		-0.297318
0.817576		0.164848		-0.298995
0.820000		0.164848		-0.300676
0.580000		0.192323		-0.161641
0.582424		0.192323		-0.162742
0.584848		0.192323		-0.163851
0.587273		0.192323		-0.164967
0.589697		0.192323		-0.166090
0.592121		0.192323		-0.167221
0.594545		0.192323		-0.168358
0.596970		0.192323		-0.169503
0.599394		0.192323		-0.170655
0.601818		0.192323		-0.171814
0.604242		0.192323		-0.172980
0.606667		0.192323		-0.174153
0.609091		0.192323		-0.175333
0.611515		0.192323		-0.176520
0.613939		0.192323		-0.177715
0.616364		0.192323		-0.178916
0.618788		0.192323		-0.180124
0.621212		0.192323		-0.181339
0.623636		0.192323		-0.182561
0.626061		0.192323		-0.183789
0.628485		0.192323		-0.185025
0.630909		0.192323		-0.186267
0.633333		0.192323		-0.187516
0.635758		0.192323		-0.188772
0.638182		0.192323		-0.190034
0.640606		0.192323		-0.191303
0.643030		0.192323		-0.192579
0.645455		0.192323		-0.193861
0.647879		0.192323		-0.195150
0.650303		0.192323		-0.196446
0.652727		0.192323		-0.197748
0.655152		0.192323		-0.199056
0.657576		0.192323		-0.200371
0.660000		0.192323		-0.201692
0.662424		0.192323		-0.203020
0.664848		0.192323		-0.204354
0.667273		0.192323		-0.205694
0.669697		0.192323		-0.207041
0.672121		0.192323		-0.208394
0.674545		0.192323		-0.209753
0.676970		0.192323		-0.211118
0.679394		0.192323		-0.212490
0.681818		0.192323		-0.213867
0.684242		0.192323		-0.215251
0.686667		0.192323		-0.216641
0.689091		0.192323		-0.218037
0.691515		0.192323		-0.219439
0.693939		0.192323		-0.220847
0.696364		0.192323		-0.222260
0.698788		0.192323		-0.223680
0.701212		0.192323		-0.225106
0.703636		0.192323		-0.226538
0.706061		0.192323		-0.227975
0.708485		0.192323		-0.229418
0.710909		0.192323		-0.230867
0.713333		0.192323		-0.232322
0.715758		0.192323		-0.233783
0.718182		0.192323		-0.235249
0.720606		0.192323		-0.236721
0.723030		0.192323		-0.238199
0.725455		0.192323		-0.239682
0.727879		0.192323		-0.241171
0.730303		0.192323		-0.242666
0.732727		0.192323		-0.244166
0.735152		0.192323		-0.245672
0.737576		0.192323		-0.247183
0.740000		0.192323		-0.248700
0.742424		0.192323		-0.250222
0.744848		0.192323		-0.251750
0.747273		0.192323		-0.253283
0.749697		0.192323		-0.254821
0.752121		0.192323		-0.256365
0.754545		0.192323		-0.257914
0.756970		0.192323		-0.259469
0.759394		0.192323		-0.261029
0.761818		0.192323		-0.262594
0.764242		0.192323		-0.264165
0.766667		0.192323		-0.265741
0.769091		0.192323		-0.267322
0.771515		0.192323		-0.268908
0.773939		0.192323		-0.270499
0.776364		0.192323		-0.272096
0.778788		0.192323		-0.273698
0.781212		0.192323		-0.275305
0.783636		0.192323		-0.276917
0.786061		0.192323		-0.278534
0.788485		0.192323		-0.280157
0.790909		0.192323		-0.281784
0.793333		0.192323		-0.283417
0.795758		0.192323		-0.285054
0.798182		0.192323		-0.286697
0.800606		0.192323		-0.288344
0.803030		0.192323		-0.289997
0.805455		0.192323		-0.291655
0.807879		0.192323		-0.293317
0.810303		0.192323		-0.294985
0.812727		0.192323		-0.296657
0.815152		0.192323		-0.298334
0.817576		0.192323		-0.300017
0.820000		0.192323		-0.301704
0.580000		0.219798		-0.162038
0.582424		0.219798		-0.163147
0.584848		0.219798		-0.164264
0.587273		0.219798		-0.165388
0.589697		0.219798		-0.166519
0.592121		0.219798		-0.167657
0.594545		0.219798		-0.168802
0.596970		0.219798		-0.169955
