100
100
T [fm^-1]		muB [fm^-1]		betabulk_dfce [fm^-4]
0.710909		0.109899		-0.372120
0.713333		0.109899		-0.386371
0.715758		0.109899		-0.401103
0.718182		0.109899		-0.416328
0.720606		0.109899		-0.432061
0.723030		0.109899		-0.448318
0.725455		0.109899		-0.465112
0.727879		0.109899		-0.482460
0.730303		0.109899		-0.500377
0.732727		0.109899		-0.518879
0.735152		0.109899		-0.537983
0.737576		0.109899		-0.557706
0.740000		0.109899		-0.578065
0.742424		0.109899		-0.599077
0.744848		0.109899		-0.620760
0.747273		0.109899		-0.643134
0.749697		0.109899		-0.666217
0.752121		0.109899		-0.690029
0.754545		0.109899		-0.714588
0.756970		0.109899		-0.739916
0.759394		0.109899		-0.766033
0.761818		0.109899		-0.792961
0.764242		0.109899		-0.820720
0.766667		0.109899		-0.849333
0.769091		0.109899		-0.878822
0.771515		0.109899		-0.909211
0.773939		0.109899		-0.940523
0.776364		0.109899		-0.972782
0.778788		0.109899		-1.006012
0.781212		0.109899		-1.040239
0.783636		0.109899		-1.075488
0.786061		0.109899		-1.111786
0.788485		0.109899		-1.149159
0.790909		0.109899		-1.187634
0.793333		0.109899		-1.227239
0.795758		0.109899		-1.268002
0.798182		0.109899		-1.309953
0.800606		0.109899		-1.353121
0.803030		0.109899		-1.397536
0.805455		0.109899		-1.443229
0.807879		0.109899		-1.490230
0.810303		0.109899		-1.538573
0.812727		0.109899		-1.588290
0.815152		0.109899		-1.639413
0.817576		0.109899		-1.691977
0.820000		0.109899		-1.746017
0.580000		0.137374		-0.036286
0.582424		0.137374		-0.038151
0.584848		0.137374		-0.040099
0.587273		0.137374		-0.042132
0.589697		0.137374		-0.044253
0.592121		0.137374		-0.046466
0.594545		0.137374		-0.048774
0.596970		0.137374		-0.051181
0.599394		0.137374		-0.053690
0.601818		0.137374		-0.056305
0.604242		0.137374		-0.059030
0.606667		0.137374		-0.061869
0.609091		0.137374		-0.064826
0.611515		0.137374		-0.067905
0.613939		0.137374		-0.071111
0.616364		0.137374		-0.074448
