101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.161000		0.070000		1.657078
0.162000		0.070000		1.732003
0.163000		0.070000		1.809556
0.164000		0.070000		1.889801
0.165000		0.070000		1.972800
0.166000		0.070000		2.058619
0.167000		0.070000		2.147322
0.168000		0.070000		2.238975
0.169000		0.070000		2.333645
0.170000		0.070000		2.431398
0.171000		0.070000		2.532302
0.172000		0.070000		2.636425
0.173000		0.070000		2.743834
0.174000		0.070000		2.854599
0.175000		0.070000		2.968789
0.176000		0.070000		3.086475
0.177000		0.070000		3.207725
0.178000		0.070000		3.332611
0.179000		0.070000		3.461204
0.180000		0.070000		3.593574
0.181000		0.070000		3.729795
0.182000		0.070000		3.869938
0.183000		0.070000		4.014075
0.184000		0.070000		4.162279
0.185000		0.070000		4.314622
0.186000		0.070000		4.471179
0.187000		0.070000		4.632022
0.188000		0.070000		4.797226
0.189000		0.070000		4.966863
0.190000		0.070000		5.141008
0.191000		0.070000		5.319736
0.192000		0.070000		5.503119
0.193000		0.070000		5.691234
0.194000		0.070000		5.884153
0.195000		0.070000		6.081952
0.196000		0.070000		6.284705
0.197000		0.070000		6.492488
0.198000		0.070000		6.705373
0.199000		0.070000		6.923437
0.200000		0.070000		7.146753
0.100000		0.080000		0.034667
0.101000		0.080000		0.038076
0.102000		0.080000		0.041754
0.103000		0.080000		0.045718
0.104000		0.080000		0.049983
0.105000		0.080000		0.054568
0.106000		0.080000		0.059489
0.107000		0.080000		0.064765
0.108000		0.080000		0.070416
0.109000		0.080000		0.076461
0.110000		0.080000		0.082921
0.111000		0.080000		0.089817
0.112000		0.080000		0.097170
0.113000		0.080000		0.105003
0.114000		0.080000		0.113340
0.115000		0.080000		0.122204
0.116000		0.080000		0.131620
0.117000		0.080000		0.141614
0.118000		0.080000		0.152211
0.119000		0.080000		0.163439
0.120000		0.080000		0.175325
0.121000		0.080000		0.187897
0.122000		0.080000		0.201186
0.123000		0.080000		0.215220
0.124000		0.080000		0.230032
0.125000		0.080000		0.245651
0.126000		0.080000		0.262112
0.127000		0.080000		0.279447
0.128000		0.080000		0.297690
0.129000		0.080000		0.316876
0.130000		0.080000		0.337041
0.131000		0.080000		0.358221
0.132000		0.080000		0.380454
0.133000		0.080000		0.403778
0.134000		0.080000		0.428232
0.135000		0.080000		0.453856
0.136000		0.080000		0.480691
0.137000		0.080000		0.508779
0.138000		0.080000		0.538161
0.139000		0.080000		0.568882
0.140000		0.080000		0.600986
0.141000		0.080000		0.634517
0.142000		0.080000		0.669522
0.143000		0.080000		0.706047
0.144000		0.080000		0.744140
0.145000		0.080000		0.783850
