101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.163000		0.060000		-0.044067
0.164000		0.060000		-0.042645
0.165000		0.060000		-0.041275
0.166000		0.060000		-0.039957
0.167000		0.060000		-0.038688
0.168000		0.060000		-0.037466
0.169000		0.060000		-0.036289
0.170000		0.060000		-0.035156
0.171000		0.060000		-0.034063
0.172000		0.060000		-0.033011
0.173000		0.060000		-0.031997
0.174000		0.060000		-0.031019
0.175000		0.060000		-0.030077
0.176000		0.060000		-0.029168
0.177000		0.060000		-0.028292
0.178000		0.060000		-0.027446
0.179000		0.060000		-0.026631
0.180000		0.060000		-0.025845
0.181000		0.060000		-0.025086
0.182000		0.060000		-0.024353
0.183000		0.060000		-0.023646
0.184000		0.060000		-0.022964
0.185000		0.060000		-0.022305
0.186000		0.060000		-0.021668
0.187000		0.060000		-0.021054
0.188000		0.060000		-0.020460
0.189000		0.060000		-0.019886
0.190000		0.060000		-0.019332
0.191000		0.060000		-0.018797
0.192000		0.060000		-0.018279
0.193000		0.060000		-0.017779
0.194000		0.060000		-0.017295
0.195000		0.060000		-0.016827
0.196000		0.060000		-0.016375
0.197000		0.060000		-0.015937
0.198000		0.060000		-0.015514
0.199000		0.060000		-0.015104
0.200000		0.060000		-0.014708
0.100000		0.070000		-0.555726
0.101000		0.070000		-0.528137
0.102000		0.070000		-0.502189
0.103000		0.070000		-0.477768
0.104000		0.070000		-0.454767
0.105000		0.070000		-0.433088
0.106000		0.070000		-0.412642
0.107000		0.070000		-0.393346
0.108000		0.070000		-0.375123
0.109000		0.070000		-0.357903
0.110000		0.070000		-0.341619
0.111000		0.070000		-0.326214
0.112000		0.070000		-0.311629
0.113000		0.070000		-0.297815
0.114000		0.070000		-0.284722
0.115000		0.070000		-0.272307
0.116000		0.070000		-0.260528
0.117000		0.070000		-0.249347
0.118000		0.070000		-0.238728
0.119000		0.070000		-0.228639
0.120000		0.070000		-0.219048
0.121000		0.070000		-0.209926
0.122000		0.070000		-0.201247
0.123000		0.070000		-0.192986
0.124000		0.070000		-0.185119
0.125000		0.070000		-0.177624
0.126000		0.070000		-0.170481
0.127000		0.070000		-0.163671
0.128000		0.070000		-0.157176
0.129000		0.070000		-0.150979
0.130000		0.070000		-0.145064
0.131000		0.070000		-0.139416
0.132000		0.070000		-0.134022
0.133000		0.070000		-0.128869
0.134000		0.070000		-0.123943
0.135000		0.070000		-0.119235
0.136000		0.070000		-0.114732
0.137000		0.070000		-0.110424
0.138000		0.070000		-0.106302
0.139000		0.070000		-0.102357
0.140000		0.070000		-0.098581
0.141000		0.070000		-0.094964
0.142000		0.070000		-0.091500
0.143000		0.070000		-0.088180
0.144000		0.070000		-0.084999
0.145000		0.070000		-0.081950
0.146000		0.070000		-0.079026
0.147000		0.070000		-0.076222
0.148000		0.070000		-0.073533
0.149000		0.070000		-0.070952
0.150000		0.070000		-0.068476
0.151000		0.070000		-0.066099
0.152000		0.070000		-0.063817
0.153000		0.070000		-0.061625
0.154000		0.070000		-0.059521
0.155000		0.070000		-0.057499
0.156000		0.070000		-0.055557
0.157000		0.070000		-0.053690
0.158000		0.070000		-0.051896
0.159000		0.070000		-0.050171
0.160000		0.070000		-0.048512
0.161000		0.070000		-0.046917
0.162000		0.070000		-0.045383
0.163000		0.070000		-0.043907
0.164000		0.070000		-0.042487
0.165000		0.070000		-0.041120
0.166000		0.070000		-0.039805
0.167000		0.070000		-0.038539
0.168000		0.070000		-0.037319
0.169000		0.070000		-0.036145
0.170000		0.070000		-0.035014
0.171000		0.070000		-0.033925
0.172000		0.070000		-0.032875
0.173000		0.070000		-0.031864
0.174000		0.070000		-0.030889
0.175000		0.070000		-0.029949
0.176000		0.070000		-0.029043
0.177000		0.070000		-0.028170
0.178000		0.070000		-0.027327
0.179000		0.070000		-0.026514
0.180000		0.070000		-0.025731
0.181000		0.070000		-0.024974
0.182000		0.070000		-0.024244
0.183000		0.070000		-0.023540
0.184000		0.070000		-0.022860
0.185000		0.070000		-0.022203
0.186000		0.070000		-0.021569
0.187000		0.070000		-0.020957
0.188000		0.070000		-0.020366
0.189000		0.070000		-0.019795
0.190000		0.070000		-0.019243
0.191000		0.070000		-0.018709
0.192000		0.070000		-0.018194
0.193000		0.070000		-0.017696
0.194000		0.070000		-0.017214
0.195000		0.070000		-0.016748
0.196000		0.070000		-0.016298
0.197000		0.070000		-0.015862
0.198000		0.070000		-0.015440
0.199000		0.070000		-0.015033
0.200000		0.070000		-0.014638
0.100000		0.080000		-0.557912
0.101000		0.080000		-0.530171
0.102000		0.080000		-0.504079
0.103000		0.080000		-0.479520
0.104000		0.080000		-0.456388
0.105000		0.080000		-0.434584
0.106000		0.080000		-0.414019
0.107000		0.080000		-0.394610
0.108000		0.080000		-0.376280
0.109000		0.080000		-0.358958
0.110000		0.080000		-0.342580
0.111000		0.080000		-0.327084
0.112000		0.080000		-0.312415
0.113000		0.080000		-0.298521
0.114000		0.080000		-0.285353
0.115000		0.080000		-0.272868
0.116000		0.080000		-0.261023
0.117000		0.080000		-0.249781
0.118000		0.080000		-0.239105
0.119000		0.080000		-0.228962
0.120000		0.080000		-0.219321
0.121000		0.080000		-0.210153
0.122000		0.080000		-0.201431
0.123000		0.080000		-0.193130
0.124000		0.080000		-0.185226
0.125000		0.080000		-0.177698
0.126000		0.080000		-0.170524
0.127000		0.080000		-0.163685
0.128000		0.080000		-0.157164
0.129000		0.080000		-0.150943
0.130000		0.080000		-0.145006
0.131000		0.080000		-0.139338
0.132000		0.080000		-0.133926
0.133000		0.080000		-0.128756
0.134000		0.080000		-0.123816
0.135000		0.080000		-0.119094
0.136000		0.080000		-0.114580
0.137000		0.080000		-0.110262
0.138000		0.080000		-0.106131
0.139000		0.080000		-0.102178
0.140000		0.080000		-0.098394
0.141000		0.080000		-0.094771
0.142000		0.080000		-0.091302
0.143000		0.080000		-0.087978
0.144000		0.080000		-0.084794
0.145000		0.080000		-0.081742
0.146000		0.080000		-0.078816
0.147000		0.080000		-0.076010
0.148000		0.080000		-0.073320
0.149000		0.080000		-0.070739
0.150000		0.080000		-0.068262
0.151000		0.080000		-0.065886
0.152000		0.080000		-0.063605
0.153000		0.080000		-0.061414
0.154000		0.080000		-0.059311
